Id,Measure,ValueAttribute,Value,StringValue,RegioS
17553,1014800_1,None,74.0,,WK001503
17554,1014850_2,None,26.0,,WK001503
17644,M000297,None,593.0,,BU00150300
17650,1014800_1,None,64.0,,BU00150300
17651,1014850_2,None,36.0,,BU00150300
17748,M000297,None,330.0,,BU00150301
17754,1014800_1,None,82.0,,BU00150301
17755,1014850_2,None,18.0,,BU00150301
17845,M000297,None,204.0,,BU00150309
17851,1014800_1,None,87.0,,BU00150309
17852,1014850_2,None,12.0,,BU00150309
17942,M000297,None,8531.0,,GM0017
17948,1014800_1,None,64.0,,GM0017
17949,1014850_2,None,36.0,,GM0017
18045,M000297,None,7803.0,,WK001700
18051,1014800_1,None,63.0,,WK001700
18052,1014850_2,None,37.0,,WK001700
18149,M000297,None,4592.0,,BU00170000
18155,1014800_1,None,63.0,,BU00170000
18156,1014850_2,None,36.0,,BU00170000
18255,M000297,None,2149.0,,BU00170001
18261,1014800_1,None,63.0,,BU00170001
18262,1014850_2,None,37.0,,BU00170001
18355,M000297,None,64.0,,BU00170002
18361,1014800_1,None,78.0,,BU00170002
18362,1014850_2,None,19.0,,BU00170002
18444,M000297,None,142.0,,BU00170003
18450,1014800_1,None,75.0,,BU00170003
18451,1014850_2,None,24.0,,BU00170003
18544,M000297,None,462.0,,BU00170004
18550,1014800_1,None,68.0,,BU00170004
18551,1014850_2,None,30.0,,BU00170004
18645,M000297,None,394.0,,BU00170005
18651,1014800_1,None,40.0,,BU00170005
18652,1014850_2,None,60.0,,BU00170005
18742,M000297,None,728.0,,WK001701
18748,1014800_1,None,74.0,,WK001701
18749,1014850_2,None,26.0,,WK001701
18838,M000297,None,173.0,,BU00170100
18844,1014800_1,None,75.0,,BU00170100
18845,1014850_2,None,25.0,,BU00170100
18936,M000297,None,185.0,,BU00170101
18942,1014800_1,None,65.0,,BU00170101
18943,1014850_2,None,35.0,,BU00170101
19032,M000297,None,49.0,,BU00170102
19037,1014800_1,None,63.0,,BU00170102
19038,1014850_2,None,35.0,,BU00170102
19102,M000297,None,35.0,,BU00170103
19107,1014800_1,None,89.0,,BU00170103
19108,1014850_2,None,11.0,,BU00170103
19170,M000297,None,46.0,,BU00170106
19175,1014800_1,None,78.0,,BU00170106
19176,1014850_2,None,22.0,,BU00170106
19248,M000297,None,132.0,,BU00170107
19254,1014800_1,None,80.0,,BU00170107
19255,1014850_2,None,19.0,,BU00170107
19340,M000297,None,99.0,,BU00170108
19346,1014800_1,None,81.0,,BU00170108
19347,1014850_2,None,18.0,,BU00170108
19419,M000297,None,9.0,,BU00170109
19476,M000297,None,15814.0,,GM0018
19482,1014800_1,None,54.0,,GM0018
19483,1014850_2,None,46.0,,GM0018
19579,M000297,None,3612.0,,WK001801
19585,1014800_1,None,47.0,,WK001801
19586,1014850_2,None,53.0,,WK001801
19683,M000297,None,1892.0,,BU00180101
19689,1014800_1,None,34.0,,BU00180101
19690,1014850_2,None,66.0,,BU00180101
19789,M000297,None,493.0,,BU00180102
19795,1014800_1,None,65.0,,BU00180102
19796,1014850_2,None,35.0,,BU00180102
19892,M000297,None,160.0,,BU00180103
19898,1014800_1,None,41.0,,BU00180103
19899,1014850_2,None,59.0,,BU00180103
19986,M000297,None,244.0,,BU00180104
19992,1014800_1,None,82.0,,BU00180104
19993,1014850_2,None,18.0,,BU00180104
20089,M000297,None,327.0,,BU00180105
20095,1014800_1,None,54.0,,BU00180105
20096,1014850_2,None,46.0,,BU00180105
20191,M000297,None,243.0,,BU00180106
20197,1014800_1,None,86.0,,BU00180106
20198,1014850_2,None,14.0,,BU00180106
20289,M000297,None,253.0,,BU00180107
20295,1014800_1,None,32.0,,BU00180107
20296,1014850_2,None,66.0,,BU00180107
20392,M000297,None,5496.0,,WK001802
20398,1014800_1,None,40.0,,WK001802
20399,1014850_2,None,59.0,,WK001802
20496,M000297,None,790.0,,BU00180201
20502,1014800_1,None,43.0,,BU00180201
20503,1014850_2,None,57.0,,BU00180201
20602,M000297,None,308.0,,BU00180202
20608,1014800_1,None,57.0,,BU00180202
20609,1014850_2,None,43.0,,BU00180202
20702,M000297,None,918.0,,BU00180203
20708,1014800_1,None,19.0,,BU00180203
20709,1014850_2,None,79.0,,BU00180203
20786,M000297,None,0.0,,BU00180204
20832,M000297,None,1105.0,,BU00180205
20838,1014800_1,None,25.0,,BU00180205
